name,type,capacity_mw,operator,state,osm_id,lng,lat
Varahi underground Powerhouse,hydro,460.0,Karnataka Power Corporation Limited,Karnataka,node/1659317774,74.9991507,13.7030919
Thathri Hydel Plant,hydro,0,Unknown,Himachal Pradesh,node/2377020712,76.3661909,32.2306755
Chibro Power Plant,hydro,240.0,Uttarakhand Jal Vidyut Nigam Limited,Himachal Pradesh,node/3886020110,77.7968301,30.5570903
Uri I,hydro,480.0,NHPC Limited,Jammu and Kashmir,node/4190775707,74.0688891,34.1141588
Uri II,hydro,240.0,NHPC Limited,Jammu and Kashmir,node/4190775708,73.97745,34.1039654
Dul Hasti Hydroelectric Plant,hydro,390.0,NHPC Limited,Jammu and Kashmir,node/4194369572,75.762121,33.2868857
Barahi Main Power Station,coal,40.0,Haryana Power Generation Corporation,Haryana,node/4976487056,76.8953483,28.7340981
Mini Power Station (Barahi),coal,10.0,Haryana Power Generation Corporation,Haryana,node/4976496445,76.8953765,28.7341159
Unnamed Hydro Plant,hydro,0,Unknown,Andhra Pradesh,node/6547533986,79.9681565,15.9750092
Pench hydro power station,hydro,160.0,Madhya Pradesh Power Generating Company Limited,Maharashtra,node/7681010891,79.2355603,21.6558577
Idukki hydro power station,hydro,780.0,Kerala State Electricity Board,Kerala,node/7685398338,76.8596246,9.7892706
Kishanganga Hydroelectric Plant,hydro,330.0,NHPC Limited,Jammu and Kashmir,node/7688030332,74.6448791,34.4635286
Roorkee Power Plant,hydro,0,Unknown,Uttaranchal,node/7847783226,77.860741,29.7035452
Sawra Kuddu hydro power station,hydro,111.0,HPSEB,Uttaranchal,node/8681472939,77.8225297,31.055959
Hydro plant,hydro,3.0,Himachal Pradesh State Electricity Board,Himachal Pradesh,node/8689595734,76.3005622,32.2794897
Hydro power,hydro,3.0,Himachal Pradesh State Electricity Board,Himachal Pradesh,node/8764485697,76.3028006,32.2922141
Sanjay Vidyut hydro power station,hydro,120.0,SJVN Limited,Himachal Pradesh,node/9378529623,77.9904419,31.5638104
PUSHEP,hydro,150.0,TANGEDCO,Tamil Nadu,node/9546484166,76.6008666,11.5227616
Maithon hydroelectric power station,hydro,63.2,DVC (Damodar Valley Corporation),West Bengal,node/9547812640,86.818955,23.7883063
Allian Duhangan Hydroelectric Power Plant,hydro,192.0,ADHPL,Himachal Pradesh,node/9567062291,77.2065604,32.2251954
Kadamparai Hydroelectric Power Plant,hydro,400.0,Tamil Nadu Generation and Distribution Corporation,Tamil Nadu,node/9567098999,77.0433748,10.410421
Naitwar Mori Hydro Power Station,hydro,60.0,SJVN,Uttaranchal,node/13345181398,78.0600393,31.0417705
Triveni Power Plant,hydro,120.0,Triveni Engineering,Bihar,node/13358835717,83.9137358,27.4161431
Ennore SEZ Super Critical Thermal Power Project (Vayalur),coal,1600.0,TANGEDCO,Tamil Nadu,way/25850550,80.310264,13.2823822
Basin Bridge Gas Turbine Power Station,gas,120.0,Tamil Nadu State Electricity Board,Tamil Nadu,way/28342737,80.2697294,13.0981662
Deenbandhu Chhotu Ram Thermal Power Station,coal,600.0,Haryana Power Generation Corporation Limited,Haryana,way/28396309,77.3264173,30.1054227
AMGEN,coal,362.0,Torrent Power,Gujarat,way/29492754,72.5933046,23.071342
Ennore Thermal Power Station,coal,450.0,Tamil Nadu Generation and Distribution Corporation,Tamil Nadu,way/30738573,80.3094811,13.1995006
East Coast Energies PVT LTD,coal,0,East Coast Energies Pvt Ltd,Andhra Pradesh,way/60793406,84.2458941,18.5268906
Faridabad Thermal Power Plant,gas,430.0,NTPC,Haryana,way/65453989,77.3599278,28.3454961
Kota Thermal Power Station,coal,1240.0,Rajasthan Rajya Vidyut Utpadan Nigam,Rajasthan,way/67195450,75.8144493,25.1709673
Obra Thermal Power Station,coal,2320.0,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited,Uttar Pradesh,way/77160913,82.9815099,24.450833
Rithala Power Plant,gas,108.0,Indraprastha Power Generation Company (IPGCL),Delhi,way/78542610,77.101785,28.7330743
Kolaghat Power Plant,coal,840.0,West Bengal Power Development Corporation,West Bengal,way/84517895,87.8713127,22.4178163
Sarai Sadi,solar,0.1,Unknown,Uttar Pradesh,way/88004014,83.5020951,26.0844504
Angul Smelter power station,coal,1200.0,National Aluminum Co Ltd,Orissa,way/90989998,85.1937858,20.8531792
Mini Power Plant,hydro,0,Unknown,Punjab,way/97363540,75.8337837,30.7831379
Madras Atomic Power Station,nuclear,440.0,Nuclear Power Corporation of India (NPCIL),Tamil Nadu,way/98366375,80.1723948,12.5570495
Chandrapur Super Thermal Power Station,coal,2920.0,Maharashtra State Power Generation Company,Maharashtra,way/101962605,79.2888777,19.9995167
North Chennai Thermal Station,coal,1830.0,Tamil Nadu Generation and Distribution Corporation,Tamil Nadu,way/102546589,80.3277584,13.2489467
Diesel Captive Power Station,gas,0,Unknown,Karnataka,way/102654158,77.5713988,13.0162917
Dadri Powerplant,coal,2637.0,NTPC,Uttar Pradesh,way/103170709,77.6157433,28.5926623
Narora Atomic Power Station,nuclear,440.0,Nuclear Power Corporation of India (NPCIL),Uttar Pradesh,way/104567860,78.4079725,28.1553228
Suratgarh Super Thermal Power Plant,coal,2820.0,Rajasthan Rajya Vidyut Utpadan Nigam Ltd,Rajasthan,way/104805106,74.0173417,29.1716299
Khara Power Plant,hydro,72.0,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited,Uttar Pradesh,way/105646132,77.6017407,30.350802
Aswapuram Heavy Water Plant,coal,0,Heavy Water Board,Andhra Pradesh,way/109386335,80.8522557,17.8788322
Farakka Super Thermal Power Station,coal,2100.0,NTPC,West Bengal,way/114812765,87.8937874,24.773986
Wanakbori Thermal Power Station,coal,2270.0,Gujarat State Electricity Corporation Limited,Gujarat,way/116801207,73.361373,22.8730665
Dahanu Thermal Power Station,coal,500.0,Adani Power,Maharashtra,way/116833091,72.7504785,19.953102
Unnamed Unknown Plant,unknown,0,Unknown,West Bengal,way/116968190,88.3685924,22.6243778
Santhaldih,coal,500.0,West Bengal Power Development Corporation,West Bengal,way/117033098,86.4662777,23.602324
Chandrapura Thermal Power Station,coal,500.0,Damodar Valley Corporation,Jharkhand,way/117580758,86.1231162,23.7379135
Durgapur Projects Limited Power Station,coal,550.0,DPL (Durgapur Projects Ltd),West Bengal,way/118649859,87.3040458,23.5182601
Mejia Thermal Power Station,coal,2340.0,Damodar Valley Corporation,West Bengal,way/118746349,87.1366381,23.460457
Kotla Power House,hydro,77.34,Bhakra Beas Management Board,Punjab,way/122030564,76.5491663,31.2131453
Anandpur Sahib Power House I,hydro,67.0,Punjab State Power Corporation,Punjab,way/122030566,76.493939,31.2713678
Ganguwal Power House,hydro,76.39,Bhakra Beas Management Board,Punjab,way/122030588,76.4920627,31.2677387
Mukerian Hydel Project III,hydro,58.5,Punjab State Power Corporation,Punjab,way/122316765,75.7129393,31.9547532
Pong Dam power house,hydro,396.0,Bhakra Beas Management Board,Himachal Pradesh,way/122316766,75.9425648,31.9671499
Guru Hargobind Thermal Plant,coal,920.0,Punjab State Power Corporation,Punjab,way/124655029,75.1706868,30.2631745
Koradi Thermal Power Station,coal,2400.0,Maharashtra State Power Generation Company,Maharashtra,way/128552626,79.0995342,21.2414081
Khaparkheda Thermal Power Station,coal,1340.0,Maharashtra State Power Generation Company,Maharashtra,way/128552630,79.1177088,21.276703
Kutch Lignite Thermal Power Station,coal,150.0,Gujarat State Electricity Corporation Limited,Gujarat,way/128739535,68.7802014,23.6618438
Sanghipuram Cement power station,coal,25.0,Sanghi Industries,Gujarat,way/128739538,68.5703247,23.3997913
Unnamed Hydro Plant,hydro,0,Unknown,Sikkim,way/129847867,88.5999053,27.2884474
Vallur Thermal Power Station,coal,1500.0,NTPC-TANGEDCO Joint Venture,Tamil Nadu,way/133591372,80.3067214,13.2369124
Bokaro Thermal Power Station,coal,500.0,Damodar Valley Corporation,Jharkhand,way/134530447,85.88096,23.7838465
Rajiv Gandhi Combined Cycle Power Plant,gas,350.0,NTPC,Kerala,way/135182644,76.4304992,9.2393282
Ratnagiri Power & Gas Private Limited,gas,1967.0,Ratnagiri Power & Gas Private Limited,Maharashtra,way/135894012,73.1644085,17.5631822
Dabhol Power Station,gas,1967.0,Ratnagiri Power & Gas Private Limited,Maharashtra,way/135894721,73.1644543,17.5604817
Neyveli Thermal Power Station II,coal,1970.0,NLC India,Tamil Nadu,way/136727943,79.4432291,11.5548001
Akrimota Thermal Power Station,coal,250.0,Gujarat Mineral Development Corporation,Gujarat,way/138602374,68.6450812,23.7719988
Pragati-I Combined Cycle Gas Power Station,gas,330.0,Pragati Power Corporation Limited,Delhi,way/139071683,77.2524477,28.6167647
Indraprastha Gas Turbine Power Station,gas,270.0,Indraprastha Power Generation Company Limited,Delhi,way/139071685,77.2502162,28.6190348
Kakrapar Atomic Power Station,nuclear,1140.0,Nuclear Power Corporation of India (NPCIL),Gujarat,way/141414135,73.3535557,21.234989
Kawas Thermal Power Station,gas,645.0,NTPC,Gujarat,way/146235176,72.6867824,21.1705989
Surat Lignite Power Plant,coal,500.0,Gujarat Industries Power Company Ltd.,Gujarat,way/146235297,73.106921,21.394715
Ukai Thermal Power Station,coal,1110.0,Gujarat State Electricity Corporation Limited,Gujarat,way/146235344,73.5555302,21.2101276
SUGEN Mega Power Plant,gas,1530.0,Torrent Power,Gujarat,way/146657606,72.9871045,21.342135
Choudwar Power Plant (Monnet Ispat),coal,170.0,Monnet Ispat & Energy,Orissa,way/146694050,85.9084398,20.5351183
Utran Gas Based Power Station,gas,374.0,Gujarat State Electricity Corporation Limited,Gujarat,way/147084401,72.871534,21.2304892
NTPC Jhanor-Gandhar,gas,657.39,NTPC,Gujarat,way/147486451,73.1137436,21.8237105
Sagardighi Thermal Power Station,coal,1600.0,West Bengal Power Development Corporation,West Bengal,way/148270935,88.1051775,24.3651675
Feroze Gandhi Unchahar Thermal Power Station,coal,1550.0,NTPC,Uttar Pradesh,way/148452693,81.3254367,25.909167
Bandel Thermal Power Station,coal,450.0,West Bengal Power Development Corporation,West Bengal,way/148851069,88.4028234,22.9979833
Bakreshwar TPS,coal,1050.0,West Bengal Power Development Corporation,West Bengal,way/149778940,87.4520014,23.8299977
Tenughat Thermal Power Plant,coal,420.0,Tenughat Vidyut Nigam Limited,Jharkhand,way/149822701,85.7620738,23.7284894
Talcher Super Thermal Powerstation,coal,3000.0,NTPC,Orissa,way/151113257,85.0742078,21.0944334
Kaiga Atomic Power Station,nuclear,880.0,Nuclear Power Corporation of India (NPCIL),Karnataka,way/152627181,74.4383179,14.8661137
Paguthan GPEC Combined Cycle Power Plant,gas,655.0,CLP India Private Limited,Gujarat,way/160505756,72.9780674,21.7809175
Mundra Thermal Powerplant,coal,4620.0,Adani Power,Gujarat,way/160685914,69.5531807,22.8173404
Coastal Gujarat Power Ltd,coal,4000.0,Tata Power,Gujarat,way/160685919,69.5188392,22.819854
Indira Gandhi Super Thermal Power Project,coal,1500.0,HPGCL (Haryana Power Generation Corporation),Haryana,way/161472419,76.3756969,28.4822247
Mahatma Gandhi Thermal Power Project,coal,1320.0,HPGCL (Haryana Power Generation Corporation),Haryana,way/161478975,76.3495557,28.4910807
Nathpa Jhakri Hydroelectric Power Station,hydro,1500.0,SJVN Limited,Himachal Pradesh,way/166148049,77.9801422,31.5641331
Nimoo Bazgo Hydroelectric Plant,hydro,45.0,NHPC Limited,Jammu and Kashmir,way/172135658,77.1848173,34.2152957
Mani Dam Powerhouse,hydro,9.0,Karnataka Power Corporation Limited,Karnataka,way/172289856,75.046673,13.6766249
Pragati-III Combined Cycle Power Plant,gas,1500.0,Pragati Power Corporation Limited,Delhi,way/172301971,77.0717398,28.7964571
Barmer Power Plant,coal,1080.0,Raj West Power Limited,Rajasthan,way/172860716,71.3285733,25.8965751
Giral Lignite Power Plant,coal,250.0,Rajasthan Rajya Vidyut Utpadan Nigam,Rajasthan,way/173212580,71.2553071,26.0458044
Auraiya Thermal Power Station,gas,652.0,NTPC Limited,Uttar Pradesh,way/174037453,79.5278234,26.631137
Chhabra Thermal Power Station,coal,2320.0,Rajasthan Rajya Vidyut Utpadan Nigam,Rajasthan,way/174639087,77.0423516,24.6360519
Kawai Thermal Power Station,coal,1320.0,Adani Power,Rajasthan,way/174639100,76.7352332,24.7787075
Khor Thermal Power Plant,coal,50.0,Grasim Industries,Madhya Pradesh,way/175153854,74.8022129,24.575439
Gandhi Sagar,hydro,115.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/175161223,75.5539386,24.7013783
Zawar Mines Captive Power Plant,coal,80.0,Hindustan Zinc Limited,Rajasthan,way/175298463,73.7469768,24.3498795
Transtech Green Power Plant Sanchore,biomass,12.0,Unknown,Rajasthan,way/175330892,71.5972483,24.8065411
Jharsuguda Sterlite power station,coal,2400.0,Sterlite Energy Ltd.,Orissa,way/175447676,84.0392763,21.816881
Anandpur Sahib Power House II,hydro,67.0,Punjab State Power Corporation,Punjab,way/177337970,76.5594219,31.2058887
Unnamed Coal Plant,coal,95.0,Unknown,Orissa,way/177572840,85.2911873,20.8076658
Rajiv Gandhi Thermal Power Project,coal,1200.0,Haryana Power Generation Corporation Limited,Haryana,way/183894202,75.8627398,29.3490858
Mithapur Solar Power Plant,solar,25.0,Unknown,Gujarat,way/184938245,68.9924851,22.4087365
Guru Nanak Dev Thermal Power Plant,coal,440.0,GNDTP,Punjab,way/185778688,74.9259011,30.2350364
Kempuhole Power Plant,hydro,0,Unknown,Karnataka,way/186638787,75.6699909,12.8384321
Malana Hydroelectric Power Plant,hydro,86.0,Malana Power Company Limited,Himachal Pradesh,way/191046676,77.2491003,32.0040586
Sardar Sarovar Dam Power House,hydro,1200.0,SSNNL,Gujarat,way/191322438,73.7488374,21.8344639
Indira Sagar,hydro,1000.0,NHDC Limited,Madhya Pradesh,way/192715770,76.4695383,22.2887224
Shree Singaji Thermal Power Project,coal,2520.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/192715779,76.5362669,22.1029584
Maheshwar Hydroelectric Power Station,hydro,400.0,NHDC Limited,Madhya Pradesh,way/192772362,75.6814581,22.164338
Anta Thermal Power Station,gas,419.33,NTPC,Rajasthan,way/193194772,76.3188247,25.1805579
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/193910495,73.5286899,28.3684887
Marhikheda,hydro,60.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/194040818,77.8349001,25.5623287
Matatila,hydro,30.6,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited,Uttar Pradesh,way/194040819,78.3719185,25.1002237
Rajghat powerhouse,hydro,45.0,Madhya Pradesh Power Generating Company Limited,Uttar Pradesh,way/194040861,78.2321225,24.7635714
Satpura Thermal Power Station,coal,1330.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/194209498,78.177902,22.1102271
Bargi,hydro,90.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/194707370,79.9242553,22.9430019
Bansagar-I,hydro,315.0,NHDC Limited,Madhya Pradesh,way/195665277,81.313704,24.8596521
Bansagar-II,hydro,30.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/195665279,81.2961667,24.4848692
Bansagar-III,hydro,60.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/195665280,81.2856621,24.1873668
Bansagar-IV,hydro,20.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/195665281,81.2746864,24.2229477
Mahan Thermal Power Plant,coal,1200.0,Adani Power,Madhya Pradesh,way/195665346,82.4079897,24.0063057
Birsingpur,hydro,20.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/195777667,81.0332923,23.3253755
Sanjay Gandhi Thermal Power Station,coal,1340.0,Madhya Pradesh Power Generating Company Limited,Madhya Pradesh,way/195777815,81.0648047,23.3084352
Anuppur Thermal Power Project,coal,1200.0,Hindustan Power Private Limited,Madhya Pradesh,way/195991256,81.7890919,23.0670378
Vindhyachal,coal,4760.0,NTPC,Madhya Pradesh,way/196019571,82.6740608,24.1050321
Singrauli Super Thermal Power Station,coal,2000.0,NTPC,Uttar Pradesh,way/196411761,82.7065171,24.1053291
Renusagar Coal Power Plant,coal,742.0,Hindalco Industries Limited,Uttar Pradesh,way/196524169,82.7910858,24.1816572
Rihand Thermal Power Station,coal,3000.0,NTPC,Uttar Pradesh,way/196663594,82.7935912,24.0280727
Parichha Thermal Power Station,coal,920.0,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited,Uttar Pradesh,way/197187434,78.7578375,25.5136804
Mahan Aluminium Bargawan Coal Power Plant,coal,750.0,Hindalco Industries Limited,Madhya Pradesh,way/197202067,82.4547023,24.2238599
Manikdoh Dam Power Station,hydro,0,Maharashtra State Electricity Board,Maharashtra,way/198125733,73.8145818,19.2345264
Malana Stage II,hydro,100.0,Malana Power Company Limited,Himachal Pradesh,way/199104528,77.2754743,32.0811702
Neerakatte Hydel Plant,hydro,0,Unknown,Karnataka,way/199356084,75.3242454,12.8546506
Unnamed Hydro Plant,hydro,0,Unknown,Karnataka,way/199516683,75.3595548,12.9582115
Mihan Sez Power Plant,coal,0,Unknown,Maharashtra,way/201845422,78.9353006,21.036851
Mauda Super Thermal Power Station,coal,2320.0,NTPC,Maharashtra,way/201955697,79.3966299,21.1799234
Butibori Thermal Power Station,coal,600.0,Reliance Power,Maharashtra,way/201955740,78.9336336,20.9281374
Bhilai 500 MW Expansion Power Project,coal,500.0,NSPCL,Chhattisgarh,way/202180496,81.4243243,21.1882014
Unnamed Coal Plant,coal,0,Unknown,Maharashtra,way/202180515,79.9605225,20.6025669
Wardha Warora Power Plant,coal,540.0,KSK Energy Ventures,Maharashtra,way/202180620,78.9814126,20.2727797
Marwa Thermal Power Plant,coal,1000.0,Chhattisgarh State Power Generation Company,Chhattisgarh,way/202980849,82.6053249,22.0703404
Lanco Amarkantak,coal,600.0,Lanco,Chhattisgarh,way/203011165,82.7219486,22.2424497
Akaltara-KMPCL Coal Power Plant,coal,1800.0,KSK Mahanadi Power Company Ltd,Chhattisgarh,way/203167959,82.4132796,21.9617037
Hasdeo Bango power station,hydro,120.0,Chhattisgarh State Power Generation Company,Chhattisgarh,way/203167962,82.5971526,22.6035811
Hasdeo Thermal Power Station Korba West,coal,1340.0,CSEB (Chhattisgarh State Electricity Board),Chhattisgarh,way/203167965,82.6804012,22.4143141
Dr. Shyama Prasad Mukherjee Thermal Power Station,coal,500.0,Chhattisgarh State Power Generation Company,Chhattisgarh,way/203167968,82.7202147,22.370576
Korba Super Thermal Power Plant,coal,2600.0,NTPC,Chhattisgarh,way/203167969,82.683916,22.3872846
Chakabura Power Station,coal,60.0,ACB (India),Chhattisgarh,way/203167987,82.5561117,22.3945578
Adani Korba West power station,coal,600.0,Korba West Power Company,Chhattisgarh,way/203168010,83.2742158,21.7408088
Baradarha Power Station,coal,1200.0,CSEB (Chhattisgarh State Electricity Board),Chhattisgarh,way/203168041,83.1912217,21.9082666
Unnamed Coal Plant,coal,35.0,Vandana Energy & Steel,Chhattisgarh,way/203168051,82.6266652,22.4871421
Salora Power Station,coal,270.0,Vandana Vidhyut,Chhattisgarh,way/203168066,82.6059366,22.4900708
Abhavani Steels Power plant,coal,40.0,Unknown,Uttar Pradesh,way/203915174,82.2285262,25.6514489
Rosa Thermal Power Plant,coal,1200.0,Reliance,Uttar Pradesh,way/203915176,79.9370254,27.8187503
Ramganga Hydroelectric Power Plant,hydro,198.0,Uttarakhand Jal Vidyut Nigam Limited,Uttaranchal,way/204007350,78.757622,29.516921
Rengali Hydroelectric Power Plant,hydro,250.0,Unknown,Orissa,way/205495613,85.0352057,21.2755523
Maithon Power Plant,coal,1050.0,Tata Power,Jharkhand,way/205803245,86.7464048,23.8209777
Barh Super Thermal Power Station,coal,3300.0,NTPC,Bihar,way/205942946,85.7542106,25.4877023
Kahalgaon Thermal Power Station,coal,2340.0,National Thermal Power NTPC,Bihar,way/205942949,87.2663069,25.2390895
Crescent Power Limited,coal,40.0,Crescent Power Limited,West Bengal,way/206009234,87.0472183,23.7851322
Durgapur Steel Thermal Power Station,coal,1000.0,Damodor Vally Corporation,West Bengal,way/206009237,87.2102967,23.5774768
Adhoi (Pasakayara),solar,30.0,Unknown,Gujarat,way/208270566,70.558093,23.3785681
Mouje Karmariya,solar,20.0,Solar Semiconductor Power Company,Gujarat,way/208270576,70.3878358,23.3492611
Khisara,solar,0,Unknown,Gujarat,way/208350328,70.0532502,23.3634358
VS Lignite Power Plant,coal,135.0,KSK Energy Ventures Pvt Ltd,Rajasthan,way/208635578,72.8581066,27.8580247
Koderma Thermal Power Station,coal,1000.0,Damodar Valley Corporation,Jharkhand,way/209806629,85.5625835,24.3859329
Ranjit Sagar hydro power station,hydro,600.0,Punjab State Power Corporation,Punjab,way/210057006,75.7311137,32.4398082
Janipur Power House,hydro,15.0,Jammu and Kashmir Power Development Corporation,Jammu and Kashmir,way/210414986,74.8520166,32.7576313
Unnamed Hydro Plant,hydro,15.0,Punjab State Power Corporation,Punjab,way/210415045,75.5836724,32.3373169
Unnamed Hydro Plant,hydro,15.0,Punjab State Power Corporation,Punjab,way/210415048,75.5797251,32.3064229
Unnamed Hydro Plant,hydro,15.0,Punjab State Power Corporation,Punjab,way/210415049,75.5822223,32.3373571
Unnamed Hydro Plant,hydro,15.0,Punjab State Power Corporation,Punjab,way/210415051,75.5730031,32.2650325
Unnamed Hydro Plant,hydro,15.0,Punjab State Power Corporation,Punjab,way/210415052,75.5811753,32.3063781
Unnamed Hydro Plant,hydro,15.0,Punjab State Power Corporation,Punjab,way/210415066,75.570906,32.2656351
Mukerian Hydel Project IV,hydro,58.5,Punjab State Power Corporation,Punjab,way/210427153,75.6651782,31.8903792
Mukerian Hydel Project I,hydro,45.0,Punjab State Power Corporation,Punjab,way/210427154,75.8358133,31.9550405
Guru Gobind Singh Super Thermal Power Plant,coal,840.0,Punjab State Power Corporation,Punjab,way/210624446,76.5646905,31.0417401
RattanIndia Nashik Thermal Power Project,coal,1350.0,RattanIndia,Maharashtra,way/220816413,74.0897983,19.8637411
Nashik Thermal Power Station,coal,630.0,Maharashtra State Power Generation Company,Maharashtra,way/220894039,73.892377,19.9831528
Bhusawal Thermal Power Station,coal,1210.0,Maharashtra State Power Generation Company,Maharashtra,way/221054237,75.8511239,21.0465892
Paras Thermal Power Station,coal,500.0,Maharashtra State Power Generation Company,Maharashtra,way/221135458,76.7989254,20.7161592
Amravati Thermal Power Project,coal,1350.0,RattanIndia Power Ltd,Maharashtra,way/221135557,77.900998,21.0756761
Unnamed Coal Plant,coal,80.0,Uttam Galva,Maharashtra,way/221264662,78.6290376,20.7072467
Parli Thermal Power Station,coal,630.0,Maharashtra State Power Generation Company,Maharashtra,way/221410711,76.525993,18.8691246
Ujani,hydro,12.0,Unknown,Maharashtra,way/221543039,75.1196773,18.0720731
Mahi Power House I,hydro,50.0,Rajasthan Rajya Vidyut Utpadan Nigam,Rajasthan,way/222370755,74.5059224,23.5446697
Namrup Thermal Power Station,gas,156.0,APGCL (Assam Power Generation Corporation Limited),Assam,way/222537996,95.3757367,27.1855706
Ghatghar Hydro Power Station,hydro,250.0,Unknown,Maharashtra,way/222687711,73.6494174,19.5332934
Bitta Solar Power Plant,solar,40.0,Adani Power,Gujarat,way/222878251,69.026229,23.2556644
Pratapgarh,solar,9.0,Integrated Coal Mining,Gujarat,way/222878252,70.7439386,23.3685837
Rapar Khokhara,solar,5.0,Taxus Group,Gujarat,way/222878253,70.0081687,23.2586107
Bap - Punj Lloyd,solar,5.0,Unknown,Rajasthan,way/222885307,72.304386,27.3862115
Rawra Viraj Solar Field,solar,5.0,Unknown,Rajasthan,way/222885308,72.1622751,27.4037329
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/222885309,72.2164731,27.4106888
Rawra Tracker,solar,5.0,Unknown,Rajasthan,way/222885310,72.1539312,27.395816
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/222885311,72.2123042,27.4120302
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/222885312,72.2197733,27.4095982
Kundarkhi Thermal Power Station,coal,90.0,Bajaj Energy Limited,Uttar Pradesh,way/223672954,82.0839749,27.0793716
Essar Power,coal,1200.0,Essar Energy,Gujarat,way/223725824,69.7120467,22.3080056
Kalisindh Thermal Power Station,coal,1200.0,Rajasthan Rajya Vidyut Utpadan Nigam,Rajasthan,way/225138391,76.0957413,24.5258055
Azure,solar,10.0,Unknown,Gujarat,way/226097008,73.2003389,23.4424671
Unnamed Coal Plant,coal,0,Unknown,Gujarat,way/226111715,71.4597718,20.9252242
GSPC Pipavav Power Company Ltd.,gas,702.0,GSPC Group,Gujarat,way/226111719,71.4652111,20.8990236
Gujarat Cement Works Power Station,coal,0,Unknown,Daman and Diu,way/226739658,70.6915227,20.8368331
Chamera Dam Stage I,hydro,540.0,NHPC Limited,Himachal Pradesh,way/226985822,75.985602,32.5969623
Dhirubhai Ambani Solar Park,solar,100.0,Reliance Industries / Adani Group,Rajasthan,way/230037276,72.0098531,26.787298
Chiplima Hydro Electric Project,hydro,72.0,Odisha Hydro Power Corporation (OHPC),Orissa,way/230495254,83.9167645,21.3528497
Powe House - Burla,hydro,275.5,Odisha Hydro Power Corporation (OHPC),Orissa,way/230495255,83.8528439,21.5170302
IB Thermal Power Plant,coal,1740.0,Odisha Power Generation Corporation,Orissa,way/230495257,83.8650286,21.6905505
Indravati Dam,hydro,600.0,Unknown,Orissa,way/230905848,82.8595848,19.4269759
Machkund Hydro Electric (Joint) Scheme,hydro,114.75,Unknown,Orissa,way/231025865,82.4409912,18.5084063
Middle Kolab Project,hydro,25.0,Unknown,Orissa,way/231025869,82.1359977,18.7462678
National Aluminum Company Limited,coal,0,Unknown,Orissa,way/231025870,82.9124947,18.7730827
Upper Kolab Hydro Electric Project,hydro,320.0,Unknown,Orissa,way/231025874,82.593731,18.8316295
Talcher Thermal Power Station,coal,460.0,NTPC,Orissa,way/231258311,85.208218,20.913111
Duburi Steel Power Plant,coal,0,Bhushan Steel (Tata Steel BSL),Orissa,way/231258313,86.0496258,20.961104
Hirakud Captive Power Plant,coal,467.5,Hindalco,Orissa,way/231258321,83.9064635,21.5299494
Uri II Hydroelectric Power Station,hydro,240.0,NHPC Limited,Jammu and Kashmir,way/231807833,74.0313259,34.0917996
"Solar Park, Kheenvsar/Nagaur",solar,5.0,Unknown,Rajasthan,way/232311128,73.3924357,26.9709076
KUNDAH III/Parali,hydro,0,TANGEDCO,Tamil Nadu,way/234170806,76.7694793,11.2429132
Dhalipur Power Plant,hydro,51.0,Uttarakhand Jal Vidyut Nigam Limited,Uttaranchal,way/234949920,77.6820158,30.4355708
Kulhal Power Plant,hydro,30.0,Uttarakhand Jal Vidyut Nigam Limited,Uttaranchal,way/234950739,77.6296318,30.428742
Bongaigaon coal power plant,coal,750.0,NTPC,Assam,way/239498715,90.3633492,26.4437565
Thenmala Dam powerhouse,hydro,0,Unknown,Kerala,way/240922951,77.0694286,8.955173
Unnamed Coal Plant,coal,0,Unknown,Andhra Pradesh,way/241951867,83.1957982,17.6046541
Simhadri Super Thermal Power Station,coal,2000.0,NTPC,Andhra Pradesh,way/241951906,83.0952453,17.5938397
Balimela Power House,hydro,510.0,Unknown,Orissa,way/241951911,82.0603778,18.2074394
Donkarayi Power House,hydro,25.0,Unknown,Andhra Pradesh,way/241951916,81.8106443,17.9328225
Upper Sileru Power House,hydro,240.0,Andhra Pradesh Power Generation Corporation,Andhra Pradesh,way/241951918,82.0192773,18.0371452
Lower Sileru Power House,hydro,460.0,Andhra Pradesh Power Generation Corporation,Andhra Pradesh,way/241951921,81.6592761,17.8702666
Samalkot Power Project,gas,220.0,Reliance Power,Andhra Pradesh,way/241988307,82.1390271,17.0388307
